,Disease Name,Sentence,Spacy Tokens Target,BERT Tokens Target
169,,Diagnosis and management of Raynaud's phenomenon,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
170,,Earliest symptoms of diseases of the macula,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
171,loss of libido,Loss of libido in Parkinson's disease,[1 1 1 0 0 0 0],[1 1 1 1 1 0 0 0 0 0]
172,scabies,A review of scabies: an infestation more than skin deep,[0 0 0 1 0 0 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0]
173,,KSHV and Kaposi's sarcoma: the end of the beginning?,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
174,acute cholecystitis,Systematic review of cholecystostomy as a treatment option in acute cholecystitis,[0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1]
175,glandular fever,Glandular fever: A study of a hospital series in Sydney,[1 1 0 0 0 0 0 0 0 0 0],[1 1 1 0 0 0 0 0 0 0 0 0]
176,,Co-morbidities in persons infected with HIV: increased burden with older age and negative effects on health-related quality of life,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
177,soft tissue sarcoma sarcoma,Treatment of soft tissue sarcoma in childhood and adolescence: A report of the German Cooperative Soft Tissue Sarcoma Study,[0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0]
178,headache,Prevalence of headache in Europe: a review for the Eurolight project,[0 0 1 0 0 0 0 0 0 0 0 0],[0 0 1 0 0 0 0 0 0 0 0 0 0]
179,lung cancer,Is asbestos or asbestosis the cause of the increased risk of lung cancer in asbestos workers?,[0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0]
180,,The measurement of opiate dependence,[0 0 0 0 0],[0 0 0 0 0 0]
181,prostate cancer,Determinants of androgen deprivation therapy use for prostate cancer: role of the urologist,[0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0]
182,,Agenesis of the corpus callosum,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
183,farting,Farting as a defence against unspeakable dread,[1 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0]
184,arterial thrombosis,Pathology of arterial thrombosis,[0 0 1 1],[0 0 1 1 1 1 1]
185,,Hereditary spastic paraplegia,[0 0 0],[0 0 0 0 0 0]
186,post - polio syndrome,Update on current and emerging treatment options for post-polio syndrome,[0 0 0 0 0 0 0 0 1 1 1 1],[0 0 0 0 0 0 0 0 1 1 1 1 1]
187,chronic fatigue syndrome,The chronic fatigue syndrome: a comprehensive approach to its definition and study,[0 1 1 1 0 0 0 0 0 0 0 0 0],[0 1 1 1 0 0 0 0 0 0 0 0 0]
188,pleurisy,Local cellular immunity in tuberculous pleurisy,[0 0 0 0 0 1],[0 0 0 0 0 0 0 1 1 1 1]
189,,PUBLIC HEALTH SIGNIFICANCE OF IRON DEFICIENCY ANAEMIA: Iron Deficiency Anaemia,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
190,,Surgical treatment of nonarticular distal tibia fractures,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
191,hypoglycaemia,The consequences of hypoglycaemia,[0 0 0 1],[0 0 0 1 1 1 1 1 1]
192,rhabdomyosarcoma,Rhabdomyosarcoma: review for the ophthalmologist,[1 0 0 0 0 0],[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0]
193,,Autonomic and psychic effects of yohimbine hydrochloride,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
194,heart failure,Heart failure and the aging population: an increasing burden in the 21st century?,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
195,,Prevalence of and risk factors for dry eye syndrome,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
196,,"Recommended dietary reference intakes, nutritional goals and dietary guidelines for fat and fatty acids: a systematic review",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
197,,The role of electroporation in defibrillation,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
198,,The role of the blood clot in endodontic therapy an experimental histologic study,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
199,,Development of the rat superior cervical ganglion: ganglion cell maturation,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
200,,"Update on PCOS: consequences, challenges, and guiding treatment",[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
201,,Mood disorder following cerebrovascular accident,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
202,,Clinical applications of renal scintigraphy.,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
203,chronic kidney disease kidney,Chronic kidney disease following acute kidney injury—risk and outcomes,[1 1 1 0 0 1 0 0 0 0 0],[1 1 1 0 0 1 0 0 0 0 0]
204,,Update of the WHO/IUIS A llergen N omenclature D atabase based on analysis of allergen sequences,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
205,gum disease,Seven warning signs of gum disease: an evaluation of a pamphlet designed to educate the public,[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0]
206,head and neck cancer and,"Head and neck cancer: changing epidemiology, diagnosis, and treatment",[1 1 1 1 0 0 0 0 0 0 1 0],[1 1 1 1 0 0 0 0 0 0 0 0 0 1 0]
207,,Insecticidal properties of d-limonene,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
208,adenomyosis,Diagnostic findings in adenomyosis: a pictorial review on the major concerns,[0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 0 0 0 0]
209,carcinoid tumours carcinoid syndrome and,Primary hepatic carcinoid tumours: clinical features with an emphasis on carcinoid syndrome and recurrence,[0 0 1 1 0 0 0 0 0 0 0 1 1 1 0],[0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0]
210,acute myeloid leukaemia,Childhood acute myeloid leukaemia,[0 1 1 1],[0 1 1 1 1 1 1 1]
211,,Level set methods: an overview and some recent results,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
212,,Incidence of antibiotic-related rash in children with Epstein-Barr virus infection and evaluation of the frequency of confirmed antibiotic hypersensitivity,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
213,autistic autistic spectrum disorders,The world of the autistic child: Understanding and treating autistic spectrum disorders,[0 0 0 0 1 0 0 0 0 0 1 1 1],[0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 1 1]
214,gallbladder cancer,Risk factors for gallbladder cancer. An international collaborative case–control study,[0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 1 0 0 0 0 0 0 0 0]
215,bronchitis,Epidemiology and treatment of chronic bronchitis and its exacerbations,[0 0 0 0 0 1 0 0 0],[0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0]
216,,Pathogenesis of group A streptococcal infections,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
217,,Localized magnetic states in metals,[0 0 0 0 0],[0 0 0 0 0]
218,foetal alcohol syndrome alcohol,"Diagnosis of foetal alcohol syndrome and alcohol use in pregnancy: A survey of paediatricians' knowledge, attitudes and practice",[0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
219,lactose intolerance,Lactose intolerance,[1 1],[1 1 1 1 1]
220,,Cervical myelopathy: current diagnostic and treatment strategies,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
221,,Tracing the tracheostomy,[0 0 0],[0 0 0 0 0 0]
222,acne,Prevalence of facial acne in adults,[0 0 0 1 0 0],[0 0 0 1 1 0 0]
223,,The manufacture of recovery,[0 0 0 0],[0 0 0 0]
224,,"Treatment pathway of bone sarcoma in children, adolescents, and young adults",[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
225,septic shock,"Sepsis, severe sepsis and septic shock: changes in incidence, pathogens and outcomes",[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0]
226,brain tumours,Symptoms and time to diagnosis in children with brain tumours,[0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 1 1 1 1]
227,high cholesterol,"Vigorous exercise, fitness and incident hypertension, high cholesterol, and diabetes",[0 0 0 0 0 0 0 0 1 1 0 0 0],[0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0]
228,testicular cancer testicular,Public awareness of testicular cancer and testicular self-examination in academic environments: a lost opportunity,[0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0]
229,,"The distribution of ringworm infections among primary school children in Jos, Plateau State of Nigeria",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
230,bunion,Is our current paradigm for evaluation and management of the bunion deformity flawed? A discussion of procedure philosophy relative to anatomy,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
231,polymyalgia rheumatica,An evaluation of criteria for polymyalgia rheumatica.,[0 0 0 0 0 1 1 0],[0 0 0 0 0 1 1 1 1 1 1 1 1 0]
232,,Total hip arthroplasty.,[0 0 0 0],[0 0 0 0 0 0 0 0]
233,,An investigation of the cause of the eosinophilia–myalgia syndrome associated with tryptophan use,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
234,chronic pancreatitis,"Chronic pancreatitis: diagnosis, classification, and new genetic developments",[1 1 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 0 0 0 0 0 0 0 0 0]
235,,THE ROLE OF ORCHIECTOMY IN TH MANAGEMENT OF POSTPUBERTAL CRYPTORCHIDISM,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
236,,INFECTIOUS CATARRH OF THE ALBINO RAT: I. EXPERIMENTAL TRANSMISSION IN RELATION TO THE RÔLE OF ACTINOBACILLUS MURIS,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
237,middle ear infection,Acute middle ear infection (acute otitis media) in children,[0 1 1 1 0 0 0 0 0 0 0],[0 1 1 1 0 0 0 0 0 0 0 0]
238,,Recent advances in primary Sjogren's syndrome,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
239,common cold,Evaluation of echinacea for the prevention and treatment of the common cold: a meta-analysis,[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0]
240,,"The magnetic properties and structure of hemoglobin, oxyhemoglobin and carbonmonoxyhemoglobin",[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
241,irritable bowel syndrome irritable bowel syndrome,A global perspective on irritable bowel syndrome: a consensus statement of the World Gastroenterology Organisation Summit Task Force on irritable bowel syndrome,[0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1],[0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1]
242,,Current methods of laboratory diagnosis of Chlamydia trachomatis infections,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
243,,Optical and structural development of the crystalline lens in childhood.,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
244,,Complications of blepharoplasty,[0 0 0],[0 0 0 0 0 0 0 0]
245,,"Therapy for head lice based on life cycle, resistance, and safety considerations",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
246,,Spiral CT angiography: an alternative to conventional angiography.,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
247,angina angina,Predicting prognosis in stable angina—results from the Euro heart survey of stable angina: prospective observational study,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0]
248,,"Adolescents with greater mental toughness show higher sleep efficiency, more deep sleep and fewer awakenings after sleep onset",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
249,,Fractures of the proximal part of the femur,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
250,cystitis,"Symptoms of interstitial cystitis, painful bladder syndrome and similar diseases in women: a systematic review",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
251,,Practical guidance for the management of acute lymphoblastic leukemia in the adolescent and young adult population,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
252,malnutrition malnutrition,Is malnutrition declining? An analysis of changes in levels of child malnutrition since 1980,[0 1 0 0 0 0 0 0 0 0 0 0 1 0 0],[0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0]
253,nosebleed,"Need a bloody nose be a nosebleed? or, lexical variants cause surprising results",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0]
254,,The genetics of alcohol dependence,[0 0 0 0 0],[0 0 0 0 0]
255,,Evaluation and differential diagnosis of dyspareunia,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
256,cirrhosis,Factors associated with poor health-related quality of life of patients with cirrhosis,[0 0 0 0 0 0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1]
257,penile cancer,Updates on the epidemiology and risk factors for penile cancer,[0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 1 1 1]
258,multiple myeloma,"Multiple myeloma: 2020 update on diagnosis, risk‐stratification and management",[1 1 0 0 0 0 0 0 0 0 0],[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
259,,Design of randomized controlled trials,[0 0 0 0 0],[0 0 0 0 0 0]
260,,The duration of Holter monitoring in patients with syncope: is 24 hours enough?,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
261,,Wavelike properties of the alpha rhythm,[0 0 0 0 0 0],[0 0 0 0 0 0 0]
262,,Effect of lodophor vs iodine tincture skin preparation on blood culture contamination rate,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
263,,Ewing sarcoma: current management and future approaches through collaboration,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
264,,The importance of the ratio of omega-6/omega-3 essential fatty acids,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
265,chronic pain,Transcutaneous electrical nerve stimulation (TENS) for chronic pain,[0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 1 1]
266,conjunctivitis,"Incidence, presenting features, and diagnosis of cicatrising conjunctivitis in the United Kingdom",[0 0 0 0 0 0 0 0 0 1 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0]
267,chest infection,Pleural fluids associated with chest infection,[0 0 0 0 1 1],[0 0 0 0 0 0 1 1]
268,,Diagnostic criteria for pudendal neuralgia by pudendal nerve entrapment (Nantes criteria),[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
269,high cholesterol cholesterol,High cholesterol/low cholesterol: effects in biological membranes: a review,[1 1 0 0 1 0 0 0 0 0 0 0 0],[1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0]
270,,Adult norms for the Box and Block Test of manual dexterity,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
271,,Immunology of hepatitis B virus and hepatitis C virus infection,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
272,,Collateral circulation: past and present,[0 0 0 0 0 0],[0 0 0 0 0 0]
273,constipation,A constipation scoring system to simplify evaluation and management of constipated patients,[0 1 0 0 0 0 0 0 0 0 0 0],[0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
274,,Molecular mechanisms of synovial joint lubrication,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
275,,Postherpetic neuralgia,[0 0],[0 0 0 0 0 0]
276,,Gonioscopy,[0],[0 0 0 0]
277,acute lymphoblastic leukaemia,Quality of life in children with acute lymphoblastic leukaemia,[0 0 0 0 0 0 1 1 1],[0 0 0 0 0 0 1 1 1 1 1 1 1 1 1]
278,retinoblastoma,Retinoblastoma in children older than 5 years of age,[1 0 0 0 0 0 0 0 0],[1 1 1 1 1 0 0 0 0 0 0 0 0]
279,nasal and sinus cancer,Treatment of nasal cavity and paranasal sinus cancer with modern radiotherapy techniques in the postoperative setting—the MSKCC experience,[0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
280,brain stem death death,ABC of brain stem death. Reappraising death.,[0 0 1 1 1 0 0 1 0],[0 0 1 1 1 0 0 0 0 0 1 0]
281,erectile dysfunction,Erectile dysfunction,[1 1],[1 1 1]
282,,Remediation of heavy metal (loid) s contaminated soils–to mobilize or to immobilize?,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
283,pressure ulcers,A longitudinal study of risk factors associated with the formation of pressure ulcers in nursing homes,[0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0]
284,,Ear Wax and its Impaction: Clinical Findings and Management,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
285,bladder cancer,"Gender and bladder cancer: a collaborative review of etiology, biology, and outcomes",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
286,,"Hand eczema classification: a cross‐sectional, multicentre study of the aetiology and morphology of hand eczema",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
287,,Genetic testing in inherited heart diseases: practical considerations for clinicians,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
288,,Zenker's diverticulum: exploring treatment options,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
289,deep vein thrombosis,Diagnosis and treatment of deep-vein thrombosis,[0 0 0 0 1 0 1 1],[0 0 0 0 1 0 1 1 1 1 1]
290,,Brief report: Recognition of autism spectrum disorder before one year of age: A retrospective study based on home videotapes,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
291,idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis: prevailing and evolving hypotheses about its pathogenesis and implications for therapy,[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
292,,Anal canal anatomy showed by three-dimensional anorectal ultrasonography,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
293,,Addison disease: Diagnosis and initial management,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0]
294,heart attack,The cardiac patients perception of his heart attack,[0 0 0 0 0 0 1 1],[0 0 0 0 0 0 1 1]
295,,Plasma lipoproteins: apolipoprotein structure and function.,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
296,,Ewing's sarcoma,[0 0 0],[0 0 0 0 0 0]
297,hepatitis c,Epidemiology of hepatitis C,[0 0 1 1],[0 0 0 0 0 1 1]
298,kidney stones,The pathogenesis and treatment of kidney stones,[0 0 0 0 0 1 1],[0 0 0 0 0 0 1 1]
299,,Diverticulosis and diverticulitis,[0 0 0],[0 0 0 0 0 0 0 0 0]
300,febrile seizures,A prospective study of recurrent febrile seizures,[0 0 0 0 0 1 1],[0 0 0 0 0 0 1 1 1 1]
301,,Pheochromocytoma: the expanding genetic differential diagnosis,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
302,,The rate of progression of scotomas in glaucoma,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
303,,Construction of an infectious DNA clone of the full-length human spumaretrovirus genome and mutagenesis of thebel 1 gene,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
304,,The routine immunohistochemical evaluation in Paget disease of the nipple,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
305,,Sympathetic neuroeffector transmission in arteries and arterioles,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
306,,Diagnosis and management of transient ischemic attack,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
307,pain chronic pain,Pain mechanisms in patients with chronic pain,[1 0 0 0 0 1 1],[1 0 0 0 0 1 1]
308,brain tumours,Relationship between paediatric CT scans and subsequent risk of leukaemia and brain tumours: assessment of the impact of underlying conditions,[0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0]
309,and nasal and sinuses cancer,Single modality and multimodality treatment of nasal and paranasal sinuses cancer: a single institution experience of 229 patients,[0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0]
310,endometriosis,Endometriosis: epidemiology and aetiological factors,[1 0 0 0 0 0],[1 1 1 1 0 0 0 0 0 0 0 0 0 0]
311,gallbladder cancer,Gallbladder cancer,[1 1],[1 1 1 1]
312,,Dressler syndrome in the 21st Century,[0 0 0 0 0 0],[0 0 0 0 0 0 0]
313,,Pathology of in-stent restenosis,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
314,,Autism spectrum disorder in the genetics clinic: a review,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
315,deep vein thrombosis,Incidence of diagnosed deep vein thrombosis in the general population: systematic review,[0 0 0 1 1 1 0 0 0 0 0 0 0],[0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0]
316,dementia,The pathobiology of vascular dementia,[0 0 0 0 1],[0 0 0 0 0 0 1]
317,deep vein thrombosis,Accuracy of clinical assessment of deep-vein thrombosis,[0 0 0 0 0 1 0 1 1],[0 0 0 0 0 1 0 1 1 1 1 1]
318,,Single-incision laparoscopic cholecystectomy: surgery without a visible scar,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
319,,"Theoretical and computational analysis of skill learning, repetition priming, and procedural memory.",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
320,allergies,Food allergies: detection and management,[0 1 0 0 0 0],[0 1 1 1 0 0 0 0]
321,,Plasma cell development and survival,[0 0 0 0 0],[0 0 0 0 0]
322,,Characteristics and outcomes of the hyperglycemic hyperosmolar non-ketotic syndrome in a cohort of 51 consecutive cases at a single center,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
323,menopause menopause,Premature menopause or early menopause: long-term health consequences,[0 1 0 0 1 0 0 0 0 0 0],[0 1 1 1 0 0 1 1 1 0 0 0 0 0 0]
324,,Eosinophils and cancer,[0 0 0],[0 0 0 0 0 0 0]
325,of loss of libido,Combined administration of a gonadotropin-releasing hormone antagonist and testosterone in men induces reversible azoospermia without loss of libido,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1],[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1]
326,headaches headache,Characterization of chronic daily headaches in children in a multidisciplinary headache center,[0 0 0 0 1 0 0 0 0 0 1 0],[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0]
327,acute lymphoblastic leukaemia,Acute lymphoblastic leukaemia,[1 1 1],[1 1 1 1 1 1 1 1 1]
328,gastroenteritis,Guidelines for managing acute gastroenteritis based on a systematic review of published research,[0 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0]
329,,On the mechanism of the hypoglycaemic effect of a plant extract,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
330,,Mineralization in organic matrix frameworks,[0 0 0 0 0],[0 0 0 0 0 0 0]
331,,Routinely collected health data to study inherited heart disease: a systematic review (2000–2016),[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
332,,Standard anaerobic exercise tests,[0 0 0 0],[0 0 0 0 0 0]
